outcome;exposure;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;estimate;se;HR;CI_left;CI_right;pval
D00;D22;sex-interaction time-adjusted;men;1771736;23384704.1896624;34743;2314;24478.8437832174;168;2.1059505;0.07736299;8.21490756953596;7.05913008057042;9.55991823436776;3.59775274837734e-163
D00;D22;sex-interaction time-adjusted;women;1855197;24764615.4100007;49481;3663;40465.5869226739;294;1.6186132;0.05850575;5.04608754775507;4.49939992152252;5.6591990006953;1.79764447211749e-168
D00;D22;sex-interaction time-comorbidity-adjusted;men;1771736;23384704.1896624;34743;2314;24478.8437832174;168;0.6904271;0.07811002;1.99456723101444;1.7114385496618;2.32453478380675;9.64394269740373e-19
D00;D22;sex-interaction time-comorbidity-adjusted;women;1855197;24764615.4100007;49481;3663;40465.5869226739;294;0.34280876;0.05917749;1.40889929825936;1.25460779638967;1.58216554874587;6.91849371722233e-09
D00;D22;sex-interaction time-number_como-adjusted;men;1771736;23384704.1896624;34743;2314;24478.8437832174;168;0.82665502;0.07780337;2.28566045049807;1.96239019383716;2.66218395881597;2.28193981319451e-26
D00;D22;sex-interaction time-number_como-adjusted;women;1855197;24764615.4100007;49481;3663;40465.5869226739;294;0.38505141;0.05901673;1.46968987625553;1.3091534994424;1.64991220150119;6.82537813772064e-11
D00;D30;sex-interaction crude;men;1746006;22886610.2736882;31102;60748;522572.759757468;3809;1.6974468;0.0171678;5.45998913593861;5.27932648702494;5.64683420088446;0
D00;D30;sex-interaction crude;women;1805669;23893854.8936822;42763;98853;911226.103241263;7012;1.3320312;0.01288615;3.78873124804551;3.69423985301381;3.88563954725515;0
D00;D30;sex-interaction kessler-adjusted;men;1746006;22886610.2736882;31102;60748;522572.759757468;3809;1.0703826;0.01888959;2.91649513758155;2.81049235673558;3.02649600421493;0
D00;D30;sex-interaction kessler-adjusted;women;1805669;23893854.8936822;42763;98853;911226.103241263;7012;0.79606014;0.01481344;2.21678985912389;2.15335336370399;2.28209515555851;0
D00;D30;sex-interaction time-adjusted;men;1746006;22886610.2736882;31102;60748;522572.759757468;3809;1.6981604;0.01716969;5.46388677469812;5.28307558860643;5.65088615258597;0
D00;D30;sex-interaction time-adjusted;women;1805669;23893854.8936822;42763;98853;911226.103241263;7012;1.3325048;0.01288731;3.79052601613212;3.69598145633842;3.88748906040477;0
D00;D30;sex-interaction time-comorbidity-adjusted;men;1746006;22886610.2736882;31102;60748;522572.759757468;3809;1.1493253;0.01873857;3.15606279560839;3.04225305576961;3.27413012238841;0
D00;D30;sex-interaction time-comorbidity-adjusted;women;1805669;23893854.8936822;42763;98853;911226.103241263;7012;0.87298038;0.0146134;2.39403536649817;2.32643869754606;2.46359611456324;0
D00;D30;sex-interaction time-number_como-adjusted;men;1746006;22886610.2736882;31102;60748;522572.759757468;3809;1.0793933;0.01884671;2.94289355581833;2.83616965034871;3.05363343825792;0
D00;D30;sex-interaction time-number_como-adjusted;women;1805669;23893854.8936822;42763;98853;911226.103241263;7012;0.73617791;0.01490809;2.08793994994095;2.02781445620807;2.14984818813821;0
D00;D31;sex-interaction crude;men;1768692;23321688.28702;34081;10031;87494.7464256309;830;2.1216434;0.03514905;8.34484013541663;7.78931192431678;8.9399882251818;0
D00;D31;sex-interaction crude;women;1850128;24669539.1046785;48406;14489;135541.892244929;1369;1.7663235;0.02741787;5.84930879756145;5.54327489432729;6.17223826374605;0
D00;D31;sex-interaction kessler-adjusted;men;1768692;23321688.28702;34081;10031;87494.7464256309;830;1.0444116;0.03632444;2.84172596007691;2.64644440694917;3.05141737002683;8.4746060009917e-182
D00;D31;sex-interaction kessler-adjusted;women;1850128;24669539.1046785;48406;14489;135541.892244929;1369;0.77422189;0.02900135;2.16890382467108;2.04905823185061;2.29575896260609;5.22911756403587e-157
D00;D31;sex-interaction time-adjusted;men;1768692;23321688.28702;34081;10031;87494.7464256309;830;2.1219664;0.03514966;8.34753595413165;7.7918189627045;8.9428869996916;0
D00;D31;sex-interaction time-adjusted;women;1850128;24669539.1046785;48406;14489;135541.892244929;1369;1.7665006;0.02741812;5.85034480188497;5.54425397861179;6.17333448882016;0
D00;D31;sex-interaction time-comorbidity-adjusted;men;1768692;23321688.28702;34081;10031;87494.7464256309;830;1.0745594;0.03654882;2.92870223001732;2.72624452184839;3.14619495183544;5.38612265755477e-190
D00;D31;sex-interaction time-comorbidity-adjusted;women;1850128;24669539.1046785;48406;14489;135541.892244929;1369;0.77548217;0.02930594;2.17163897394818;2.05041781190049;2.30002675835102;2.68306622018064e-154
D00;D31;sex-interaction time-number_como-adjusted;men;1768692;23321688.28702;34081;10031;87494.7464256309;830;1.1754616;0.03602019;3.23963801565687;3.01881184414959;3.47661762783553;1.37790420448571e-233
D00;D31;sex-interaction time-number_como-adjusted;women;1850128;24669539.1046785;48406;14489;135541.892244929;1369;0.81773667;0.02854595;2.26536675825254;2.14210209887106;2.39572453250489;1.78105863535516e-180
D00;D32;sex-interaction crude;men;1766274;23237804.6970208;33477;22588;171378.336424883;1434;1.7796612;0.02696804;5.92784772352868;5.62265972633325;6.24960078390871;0
D00;D32;sex-interaction crude;women;1840142;24443030.4567558;46547;44210;362050.540167678;3228;1.3932708;0.01820352;4.02800332368013;3.88682471789168;4.17430986812777;0
D00;D32;sex-interaction kessler-adjusted;men;1766274;23237804.6970208;33477;22588;171378.336424883;1434;0.93661685;0.02813991;2.551335251081;2.41443097897969;2.69600233764367;6.51761499156115e-243
D00;D32;sex-interaction kessler-adjusted;women;1840142;24443030.4567558;46547;44210;362050.540167678;3228;0.64934526;0.01972506;1.91428705830321;1.84169225509259;1.9897433631782;1.14440040728643e-237
D00;D32;sex-interaction time-adjusted;men;1766274;23237804.6970208;33477;22588;171378.336424883;1434;1.7803858;0.02697011;5.93214459855897;5.62671255367768;6.25415625953944;0
D00;D32;sex-interaction time-adjusted;women;1840142;24443030.4567558;46547;44210;362050.540167678;3228;1.3937317;0.0182048;4.02986025830973;3.88860681273462;4.17624472814306;0
D00;D32;sex-interaction time-comorbidity-adjusted;men;1766274;23237804.6970208;33477;22588;171378.336424883;1434;0.99041873;0.02827871;2.69236160892635;2.54719684199058;2.84579931700751;9.8830363124263e-269
D00;D32;sex-interaction time-comorbidity-adjusted;women;1840142;24443030.4567558;46547;44210;362050.540167678;3228;0.70501293;0.0199256;2.02387285342916;1.94635710014769;2.10447575449372;3.19968589209909e-274
D00;D32;sex-interaction time-number_como-adjusted;men;1766274;23237804.6970208;33477;22588;171378.336424883;1434;0.94058578;0.02805862;2.56148144354399;2.42441896918376;2.70629262888056;2.29140498021443e-246
D00;D32;sex-interaction time-number_como-adjusted;women;1840142;24443030.4567558;46547;44210;362050.540167678;3228;0.56071762;0.01972196;1.75192926878293;1.68550174112827;1.8209747803427;8.33984174116164e-178
D00;D33;sex-interaction crude;men;1750864;22963358.6915189;31643;52849;445824.341926792;3268;1.6462713;0.01837469;5.18760071340166;5.00409996474679;5.37783044928582;0
D00;D33;sex-interaction crude;women;1811863;23990696.0879557;43463;89426;814384.908967739;6312;1.2891309;0.0134732;3.6296306725449;3.5350375203178;3.72675501840059;0
D00;D33;sex-interaction kessler-adjusted;men;1750864;22963358.6915189;31643;52849;445824.341926792;3268;1.0123159;0.01986683;2.75196692096315;2.64686952058993;2.86123735044841;0
D00;D33;sex-interaction kessler-adjusted;women;1811863;23990696.0879557;43463;89426;814384.908967739;6312;0.73504168;0.01525632;2.08556891720597;2.02412972401346;2.14887299801679;0
D00;D33;sex-interaction time-adjusted;men;1750864;22963358.6915189;31643;52849;445824.341926792;3268;1.6469804;0.01837664;5.19128054559784;5.00763049156839;5.38166578953434;0
D00;D33;sex-interaction time-adjusted;women;1811863;23990696.0879557;43463;89426;814384.908967739;6312;1.2895927;0.01347438;3.6313072230752;3.53666219819093;3.72848505438354;0
D00;D33;sex-interaction time-comorbidity-adjusted;men;1750864;22963358.6915189;31643;52849;445824.341926792;3268;1.0910605;0.01976103;2.97742996333232;2.86431604209151;3.09501083549282;0
D00;D33;sex-interaction time-comorbidity-adjusted;women;1811863;23990696.0879557;43463;89426;814384.908967739;6312;0.81219308;0.01511191;2.25284323844682;2.1870952217954;2.32056775875044;0
D00;D33;sex-interaction time-number_como-adjusted;men;1750864;22963358.6915189;31643;52849;445824.341926792;3268;0.99690397;0.01985574;2.70987896084686;2.60644554944814;2.81741699303684;0
